content_seg_augmented	label
海外 日战疫 全时区 日前 写信 美国 海军 求援 罗斯福 航母 舰长 当事人 布雷特 克罗泽 离开 罗斯福 船员 送别 罗斯福 137 确诊 感染 新冠 肺炎 美国 电视 新闻网 媒体报道 罗斯福 舰员 新冠 肺炎 症状 情况 有所增加 克罗泽 美国 海军 一封 紧急 求援信 试图 撤离 隔离 舰员 美国 海军 周四 舰长 克罗泽 海军 代理 部长 托马斯 德利 ThomasModly 克罗泽 信心 判断力 很差 解除 克罗泽 军队 克罗泽 离开 罗斯福 船员 送别 鼓掌 呼喊 名字 克罗泽 登上 私家车 离开 回头 挥手 船员 道别 海军 代理 部长 受访 解除 克罗泽 舰长 职务 一事 辩护 声称 一切都是 船员 健康 着想 船员 爱戴 尊重 作出 极差 判断 德利 克罗泽 加密 电邮 网络 太平洋舰队 领导层 求救 太多人 传阅 信件 该信 媒体 公开 不必要 恐慌 民众 接受 这番 说法 请愿 网站 民众 自发 组织 参加 克罗泽 联署 活动 罗斯福 停泊 关岛 检疫 隔离 舰上 137 船员 确诊 感染 新冠 肺炎 海外 网杨佳	2
中新网 日电 韩联社 报道 韩军 相关 美军 日向 朝鲜半岛 上空 出动 美国 1B 战略轰炸机 韩国 空军 KF 战斗机 飞行 演习 报道 安德森 空军基地 起飞 1B 战略轰炸机 飞抵 朝鲜半岛 东部 海域 上空 向西 内陆 飞越 半岛 返回 关岛 日后 1B 时隔 再度 飞抵 半岛 军方 相关 人士 美国 派遣 1B 飞行 编队 飞抵 半岛 例行 演习 公开 报道 1B 战略轰炸机 并称 美国 三大 战略轰炸机 飞行速度 马赫 搭载 2000 磅级 MK 炸弹 500 磅级 MK 炸弹 2000 磅级 GBU 炸弹 值得一提的是 1B 关岛 基地 两个 小时 抵达 半岛 参与 作战 高速 甩开 战斗机 投掷 炸弹	1
环球网 报道 徐璐明 今日 印度 网站 报道 印度空军 当天 苏卢尔 空军基地 格普雷 正式 组建 印度空军 第二支 装备 印度 国产 军用 战斗机 中队 报道 部署 泰米尔纳德邦 印度空军 飞弹 中队 正式 印度空军 第二支 装备 印度 国产 军用 战斗机 中队 印度空军 总司令 巴达 乌里亚 亲临 出席 仪式 机械师 印度 国产 LCA 光辉战斗机 苏卢尔 基地 上空 飞行 印度空军 总司令 巴达 乌里亚 机械师 光辉战斗机 飞行 印度空军 一份 新闻稿 中说 中队 配备 具备 作战能力 OGame 光辉战斗机 印度空军 中队 第二支 装备 该型 战斗机 中队 印度空军 中队 成立 1965 参与 1971 印巴 战争 列装 米格 战斗机 归队 部队 番号 得以 保留 装备 部队 光辉 军用 战斗机 印度 首款 国产 三代 历时 三十年 研发 成功 装备 部队 战机 装备 陆续 暴露出 性能 故障率 高等 种种 大批量 换装 印度 研发 MK2 版本 光辉战斗机 机体 放大 采用 涡轮引擎 配置 希望 进一步 挖掘 提升 作战能力	4
观察者 网王 世纯 新冠 英国皇家空军 疫情 影响 美军 太平洋 战备 能力 美军 依然 坚持不懈 派出 军舰 战机 周边 海域 三天 美军 两次 派出 1B 轰炸机 东海 南海 空域 执行 演训 飞行 专栏作家 分析 撤走 常态化 部署 安德森 空军基地 52H 轰炸机 美国 东北亚地区 轰炸机 部署 难以预测 追踪 军机 动态 推特 帐号 飞机 守望 AircraftSpots 发表 推文 显示 美军 本土 派出 隶属于 空军 远征 轰炸机 中队 1B 骑兵 超音速 轰炸机 进驻 关岛 轰炸机 中国 周边 空域 密集 演训 飞行 空军 远征 轰炸机 中队 1B 骑兵 超音速 战略轰炸机 当天 飞越 台湾 东北部 海域 前往 南海 执行 期间 一架 呼号 订定 LIVID11 KC 135R 空中加油机 同一时间 机群 编队 加油 补给 横越 对此 就此结束 台军 国防部 台海 周边 海空域 情况 台军 喷气机 全程 空军 远征 轰炸机 中队 1B 轰炸机 RAMSY0102 关岛 安德森 基地 起飞 前往 台湾 东海 上空 军事行动 空军 起飞 KC 135R 加油机 PARKA11 提供 空中加油 这一 空军 太平洋 司令部 东海舰队 确认 四月份 疫情 太平洋地区 预料 美军 爆发 美国空军 战略轰炸机 部队 大规模 兵力 调动 隶属于 安德森 52H Bf 四次 轰炸机 轮换 机队 情况 飞离 关岛 安德森 空军基地 结束 美国空军 2004 间断 执行 轰炸机 持续 美军 调派 1B 轰炸机 前往 安德森 空军基地 弥补 52H 轰炸机 缺口 美国 防务 网站 DefenseOne 分析 放弃 常态化 轰炸机 持续 转而 动态 镜像 部署 本土 轰炸机 美军 战略 资产 部署 预测 观察者 军事 评论员 注重 防区 发射 巡航导弹 52H 轰炸机 相比 B超 音速 隐身 轰炸机 携带 LRASM 远程反舰导弹 打击 太平洋 西岸 对手 水面舰艇 意味着 美军 潜在 常规 冲突	4
中新网 日电 综合 报道 时间 希腊 当局 该国 国防部长 乘专机 视察 岛屿 期间 土耳其 战机 骚扰 谴责 这是 一种 挑衅 土耳其 对此 否认 土方 战机 例行 飞行 报道 希腊 事件 发生 希腊 国防部长 帕纳约 普洛斯 总参谋长 弗洛 罗斯 军用 直升机 前往 希土 边境 视察 直升机 边境 岛屿 伊努 塞斯 起飞 两架 土耳其 战机 岛上 飞过 逼近 一座 希腊 小岛 阿加索 尼西 事件 发生 希腊 外交部 发表声明 谴责 土耳其 战机 挑衅 土耳其政府 遵守规则 土耳其 指责 希腊 试图 加剧 紧张局势 土耳其 否认 该国 战机 骚扰 希腊 直升机 例行 飞行	5
环球网 报道 徐璐明 美国 海军 时报 报道 美国 海军 亚利桑那 核潜艇 近日 为期 战略部署 返回 母港 美国 海军 一份 通告 亚利桑那 核潜艇 返回 母港 此前 该艇 经历 漫长 战略部署 美国 非洲 司令部 欧洲 司令部 提供 支持 报道 美军 官员 拒绝 透露 亚利桑那 那段 漫长 等待时间 海军 通告 中称 这艘 潜艇 提供 前所未有 打击能力 特种 作战能力 特种部队 带来 无与伦比 自主性 隐秘性 潜艇 执行 长期 前沿 战略部署 返回 母港 情况 亚利桑那 指挥官 布赖恩 特罗 一份 声明 中说 海上 漂泊 回到 金斯湾 海军基地 感觉 美国 海军 此前 发布 俄亥俄 核潜艇 亚利桑那 1983 弹道导弹 核潜艇 服役 2003 改装成 巡航导弹 核潜艇 携带 多达 154 战斧巡航导弹 该艇 采用 乘员 配置 更长 前沿 战略部署 等待时间 该型 潜艇 战略部署 特种部队 队员 导弹 配备 额外 舱室 安置 人员 潜艇 两个 导弹 发射管 改装成 人员 进出 特种部队 水下 进出 潜艇 美国 海军 潜艇 发言人 凯蒂 迪纳 透露 前沿 战略部署 800 多天 大部分 等待时间 亚利桑那 运行 两次 维修 工作 希腊 索达湾 迭戈 加西亚 每次 花费 三到 四周 等待时间 战略部署 期间 这艘 潜艇 航行 万海里 到访 港口 亚利桑那 核潜艇 战略部署 期间 曝出 性丑闻 此前 一份 美国 信息 自由 调查 报告 显示 亚利桑那 潜艇 水手 创建 一份 强奸 二十六位 二十六位 女性 飞官 排名 详细分析 女性 飞官 发生 性行为 亚利桑那 潜艇 美国 第二艘 女性 飞官 潜艇 潜艇 共有 173 飞官 名是 女性 此案 调查 潜艇 指挥官 格雷戈里 科尔 彻已 解雇 披露 飞官 强奸 二十六位 处罚	4
观察者 专栏 作者 王世纯 本周 一条 军事 新闻 我军 空降兵 列装 装甲 输送车 断然 军改 空降兵 编制 机械化 程度 见到 提升 机械化 装备 缺编 不足以 应对 合成 信息化 作战 外部 局势 趋于 紧张 空降 紧急 列装 一批 重装 投送 合成 指挥 能力 装甲 运输车 一是 空降 火器 单位 提高 战斗力 潜在 军事冲突 抓好 战备 二是 基础 后续 机械化 设备 入列 探索 空降 机械化 本周 军事 新闻 我军 空降兵 接受 新型 轮式 装甲 输送车 断然 改旅 改革 空降 终于 接收 装备 自然 讨论 本次 列装 轮式 装甲车 两个 型号 4x4 指挥车 4x4 装甲 输送车 指挥车 乘员 载员 装备 信息化 嵌入式 多种 TCR 变频 电台 用于 连营 指挥 控制 火力 鼓励 步兵 乘坐 装备 QJC88 127mm 车载 重机枪 装甲 输送车 该型 装输 乘员 载员 足以 搭载 空降兵 步兵 火器 公开 画面 空降兵 采用 合成 装甲 步兵连 编制 编制 车排 连部 指挥车 辆 火炮 导弹 本次 列装 车族 北方工业 VN 外贸 空降 榴弹炮 VN 网络平台 转正 公开 外贸 资料 VN 车族 更重 正面 防护 一点 越野 性能 公路 速度 伞兵 榴弹炮 这款 VN 装甲 输送车 技术指标 防护 大致相同 远程投送 我军 现役 两型 大型 运输机 一次性 投送 装甲 输送车 运输机 投送 机械化 提高 空降 合成 打击能力 本次 报道 文字 视频新闻 这篇 详细 报道 提到 合成 机械化 内容 误以为 本次 列装 VN 出口 工业产品 而来 版本 步兵 榴弹炮 报道 最终 搞清楚 装备 一种 4x4 装甲 输送车 未免 失望 人民解放军 关注 机械化 步兵 火力 火炮 导弹 装甲 步兵 看家 法宝 列装 缺乏 火力 输送 车辆 确实 安心 装装 输是 一种 降档 本质 省钱 空降 作战 性质 作战 编制 空降 确实 迫切需要 列装 不带 火炮 装甲 输送车 我军 空降兵 祖国统一 作战 纵深 空投 要点 夺控 注重 巷战 步兵 下车 作战 得益于 年代 我国 兵器工业 定型 轻型 火力 空降 步兵 班列 步兵 火器 用于 潜在 攻坚 作战 空降 军改 步兵连 单独 设有 火力 装有 重机枪 毫米 迫击炮 榴弹 发射器 反坦克导弹 军改 榴弹 QLU131 高速 榴弹 TNUMBERA46 新型 反坦克导弹 营级 火力 空降 军在 军改 列装 107 毫米 火箭弹 携行 火力 我军 火力 大到 营级 107 迫击炮 小到 重机枪 毫米 高速 榴弹 战时 夺控 战役 战略 要点 空降 战术 战略 机动 一辆 合适 装甲 运输 载具 此前 空降 列装 DKC 伞兵 伞兵 装甲 猛士 两种 代步 载具 两种 车型 符合 空降 战术 基准 新型 车族 装输 列装 顶尖 步兵 火器 算是 应有 驮马 空降 军旅 大量列 装甲 输送车 装甲 输送车 部队 熟悉 装甲部队 战术 战法 维系 部队 装备 带来 战法 装甲 输送车 本次 列装 重点 指挥车 一支 基础建设 思路 编制 体制 作战体系 强敌 趋近 部队 空降兵 火力 支援 远非 本队 火力 空降 军在 潜在 作战 势必 地空 地地 地海 火力 鼓励 工作 火力 鼓励 工作 离不开 车载 信息化 网络平台 新闻 着重 提到 新型 网络平台 车载 指控 通信 网络平台 网络 作战 单元 扫雷 单元 指控 通信 单元 聚合 一体化作战 体系 新闻 空降 某部 空军 歼击机 直升机 导弹部队 信息化 条件 实战演习 新车 列装 空降 未来 作战 模式 类似 美军 斯特赖克 战斗力 生成 模式 脱胎换骨 快速 入列 装输 火器 单位 炮兵 运输 作战 需求 空降 依然 一批 更好 空降 榴弹炮 填补 编制 军改 空降兵 编制 个团 精简 增编 空中 突击旅 编制 海军陆战队 空降 扩编 迎来 缺编 缺编 缺乏 机械化 装备 伞兵 榴弹炮 车族 供应量 并不大 军改 装备 农十师 手中 装备 个营 空降兵 师改 伞兵 榴弹炮 格朗普雷县 单位 导致 各个单位 只能 九个 虽说 机械化 装备 空降 军旅 编制 大同小异 旅都 应有 机械化 装备 VN 这款 主打 外贸 步兵 榴弹炮 空降 需求 军改 空降 复产 一批 步战 应急 VN3 技术指标 至关重要 火力 基准 并未 优于 液气 置放 二代 步兵 榴弹炮 M1A2T 入列 台军 带来 反甲 需求 笔者 消极 年初 空投 测试 神秘 二代 伞兵 榴弹炮 最终 列装 空降兵 部队 空降 汉军 轮式 装输 网络平台 步战 性能 空降兵 复产 空降 关注 火力 伞兵 榴弹炮 至少 更换 火力 系统 对抗 台军 潜在 M1A2T 坦克 中国 空降 未来 美好 前路 艰辛 伞兵 榴弹炮 新型 轮式 装甲 输送车 我国 空降 战役 学说 俄罗斯 类似 俄军 空降兵 2S25 章鱼 存储卡 轻型 空降 坦克 2S9 而无须 迫榴炮 BMD 2BTR MD 空降 步兵 榴弹炮 依然 我军 我国 军工 行业 追求 目标 俄军 网络平台 技术 程度 俄军 功能 类似 我国 二代 迫榴炮 网络平台 步兵 榴弹炮 网络平台 处于 紧张 定型 空降兵 空投 坦克 日子 不远 冀望 摸过 3485 老兵 有生之年 中国 研发 空降 坦克	3
环球网 报道 徐璐明 每日 邮报 报道 俄罗斯 研发 一款 世界 致命 狙击步枪 价值 万英镑 约合 266 万元 人民币 狙击步枪 击中 英里 公里 目标 堪称 改变 战场 游戏规则 报道 步枪 名为 SVLK 14S 俄罗斯 LobaevArms 公司 研发 该枪 杀伤 距离 英里 步枪 价值 万英镑 重量 公斤 采用 单发 枪栓 结构设计 只能 单发 发射 此前 镜报 报道 狙击步枪 精确 射程 可达 3000 英国 军队 L115A3 步枪 两倍 研制 武器 LobaevArms 公司 总工程师 尤里 西尼奇 金说 步枪 一把 一把 造出来 法拉利 保时捷 超跑 该枪 欣赏 高精度 枪支 专业人士 专业 狙击手 打造 该枪 所用 408 口径 子弹 1036 毫米 X77 毫米 子弹 初速 900 每秒 西尼奇 金说 子弹 穿透 厘米 钢轨 想象 击中 敌人 防弹背心 扛得住 子弹 英国皇家 宪兵队 武器 情报部门 一名 成员 步枪 真的 击中 两英里 目标 改变 战场 游戏规则	6
环球网 军事 报道 Navyrecognition 网站 报道 美国 海军 宾夕法尼亚 弗吉尼亚 攻击型 核潜艇 特拉华 SSN791 正式 交付 入列 报道 特拉华 潜艇 近日 正式 美国 海军 战斗序列 新冠 肺炎 疫情 原因 公共卫生 政府 大型 公众 集会 传统 服役 仪式 取消 美国 海军 未来 机会 补办 这一 仪式 以此 表达 船厂 艇员 感谢 弗吉尼亚 攻击型 潜艇 美国 海军 多功能 核动力 潜水艇 用于 对付 敌方 潜艇 攻击 水上 目标 执行 特别 侦察 布雷 级别 潜艇 舰艇 建造 四艘 订单 服役 特拉华 弗吉尼亚 BlockIII 攻击 核潜艇 一艘 建造 升级版 BlockIV 伏击 BlockIII 潜艇 装备 两个 新型 MAC 前提条件 六联 圆柱 垂直 发射装置 VPT 发射装置 发射 六枚 战斧巡航导弹	6
环球网 报道 徐璐明 韩国 KBS 电视台 官方网站 报道 消息人士 韩国 上个月 玄武 新型 弹道导弹 首次 试射 相比 此前 玄武 系列 导弹 玄武 射程 载荷 能力 更强 报道 玄武 导弹 试射 韩国 西海岸 安兴 试验场 两次 试射 中有 未获 成功 玄武 导弹 韩国 研制 最新型 弹道导弹 射程 可达 800 公里 携带 吨重 弹头 韩国 军方 2017 研发 武器 此前 韩国 美国 韩国 发展 导弹 政策方针 修改 取消 韩国 弹道导弹 载荷 能力	6
